last_name,first_name,middle_initial,birth_date,gender,hire_date,initial_level,employment_type
Smith,Alex,X,1978-12-24,M,2004-08-02,5,FT
Johnson,Alex,S,1982-12-19,X,2015-02-11,5,FT
Williams,Alex,M,1965-09-20,F,2004-04-30,5,FT
Jones,Alex,Z,1991-11-18,F,2011-09-04,1,PT
Brown,Alex,F,1960-02-20,F,2014-02-15,2,FT
Davis,Alex,J,1987-04-22,F,2001-08-13,2,FT
Miller,Alex,H,1964-12-24,M,2009-02-08,5,FT
Hall,Alex,V,1961-05-21,X,2001-06-24,3,PT
Allen,Alex,S,1970-03-05,F,2003-10-18,3,PT
Young,Alex,P,1960-09-16,M,2014-02-21,3,PT
Hernandez,Alex,O,1964-01-30,X,2003-01-09,1,FT
King,Alex,A,1982-05-24,M,2009-04-26,3,FT
Wright,Alex,I,1977-10-08,F,2015-04-14,5,FT
Lopez,Alex,R,1956-06-15,X,2000-09-06,5,PT
Stewart,Alex,L,1966-07-29,F,2005-12-27,5,FT
Price,Alex,I,1977-04-22,X,2010-09-21,3,PT
Bennett,Alex,C,1997-12-21,M,2020-03-21,2,PT
Wood,Alex,C,1955-12-10,F,2019-12-24,3,FT
Henderson,Alex,R,1974-10-22,X,2004-07-30,3,FT
Anderson,Alex,Y,1954-03-10,F,2006-01-31,2,FT
Smith,Blake,O,1987-04-04,X,2004-07-13,2,FT
Johnson,Blake,I,1971-12-19,F,2012-09-15,1,FT
Williams,Blake,V,1995-11-19,X,2009-06-02,1,PT
Jones,Blake,N,1967-11-17,X,2012-10-27,5,PT
Brown,Blake,X,1955-12-28,F,2012-07-04,2,FT
Davis,Blake,J,1957-01-05,M,2006-12-10,2,FT
Miller,Blake,G,1965-02-04,X,2000-03-24,3,PT
Hall,Blake,F,1997-01-28,X,2003-11-16,5,FT
Allen,Blake,T,1998-12-01,X,2013-10-19,4,FT
Young,Blake,D,1986-04-25,F,2015-12-05,5,FT
Hernandez,Blake,S,1974-12-14,F,2020-05-15,3,PT
King,Blake,X,1952-10-04,X,2019-03-14,4,FT
Wright,Blake,J,1997-07-02,M,2004-04-03,2,PT
Lopez,Blake,R,1960-11-12,F,2014-05-03,1,PT
Stewart,Blake,T,1998-04-18,F,2004-02-29,1,FT
Price,Blake,L,1968-12-22,M,2019-04-05,4,PT
Bennett,Blake,B,1950-06-12,M,2003-03-31,4,FT
Wood,Blake,C,1961-09-03,X,2018-03-20,5,PT
Henderson,Blake,G,1975-07-03,X,2017-11-09,3,PT
Anderson,Blake,T,1955-06-30,M,2019-06-16,1,PT
Smith,Taylor,N,1985-04-29,F,2010-08-03,4,PT
Johnson,Taylor,D,1997-06-15,F,2012-06-28,1,FT
Williams,Taylor,E,1979-04-28,X,2008-12-02,5,PT
Jones,Taylor,D,1985-11-23,M,2021-05-25,1,PT
Brown,Taylor,K,1995-12-30,F,2016-04-21,1,FT
Davis,Taylor,A,1958-09-11,M,2017-11-13,3,PT
Miller,Taylor,F,1991-03-11,X,2009-06-18,1,FT
Hall,Taylor,F,1965-07-11,F,2016-07-07,1,PT
Allen,Taylor,L,1950-11-24,F,2010-05-04,4,FT
Young,Taylor,U,1965-02-01,M,2021-04-24,3,FT
Hernandez,Taylor,M,1976-08-06,F,2016-02-27,2,FT
King,Taylor,N,1964-01-30,M,2015-07-26,2,PT
Wright,Taylor,S,1999-02-10,M,2000-10-26,3,PT
Lopez,Taylor,Z,1970-02-03,M,2010-11-13,3,PT
Stewart,Taylor,B,1980-09-18,F,2001-09-23,4,FT
Price,Taylor,E,1998-07-24,F,2020-11-08,2,FT
Bennett,Taylor,S,1996-08-24,M,2000-12-18,5,FT
Wood,Taylor,Z,1977-11-30,M,2017-09-26,1,FT
Henderson,Taylor,J,1952-12-15,M,2011-08-12,5,FT
Anderson,Taylor,G,1950-05-08,F,2008-08-27,2,PT
Smith,Jordan,V,1979-03-23,X,2006-09-04,4,PT
Johnson,Jordan,T,1962-01-31,M,2013-11-28,4,FT
Williams,Jordan,N,1975-05-03,F,2000-08-27,3,FT
Jones,Jordan,Q,1961-02-25,M,2011-05-15,1,FT
Brown,Jordan,N,1969-12-28,M,2000-07-06,3,PT
Davis,Jordan,T,1998-08-02,F,2015-03-02,1,PT
Miller,Jordan,H,1954-09-15,X,2009-07-03,4,FT
Hall,Jordan,S,1999-02-06,M,2011-03-23,5,PT
Allen,Jordan,U,1988-01-26,F,2021-11-28,5,PT
Young,Jordan,U,1999-01-29,X,2005-02-12,5,FT
Hernandez,Jordan,U,1966-03-27,F,2012-10-16,3,PT
King,Jordan,P,1993-04-05,M,2011-06-10,5,FT
Wright,Jordan,K,1999-01-05,F,2004-11-01,3,FT
Lopez,Jordan,K,1973-05-12,X,2003-09-10,4,PT
Stewart,Jordan,F,1962-05-06,M,2008-03-19,1,PT
Price,Jordan,I,1994-12-17,X,2004-05-12,4,FT
Bennett,Jordan,C,1994-03-01,F,2000-03-28,1,PT
Wood,Jordan,S,1958-10-05,X,2011-11-20,5,FT
Henderson,Jordan,V,2000-09-07,X,2015-06-29,5,PT
Anderson,Jordan,O,1960-07-19,M,2020-05-05,1,PT
Smith,Ryan,Q,1964-02-24,M,2001-01-15,1,FT
Johnson,Ryan,V,1999-08-14,X,2017-12-31,4,FT
