last_name,first_name,middle_initial,birth_date,gender,hire_date,initial_level,employment_type
Smith,Alex,X,1993-02-21,X,2018-05-29,5,PT
Johnson,Alex,G,1998-08-03,X,2018-04-19,3,PT
Williams,Alex,E,1957-07-29,M,2021-10-03,3,PT
Jones,Alex,B,1987-03-07,M,2016-11-19,2,FT
Brown,Alex,V,1993-07-04,X,2020-01-16,5,FT
Davis,Alex,Y,1983-01-31,M,2012-03-04,2,FT
Miller,Alex,B,1961-08-14,M,2014-12-08,5,PT
Hall,Alex,V,1974-05-02,X,2016-02-12,2,FT
Allen,Alex,A,1995-11-11,F,2000-07-13,1,FT
Young,Alex,R,1953-01-14,M,2005-11-21,2,PT
Hernandez,Alex,N,1972-08-22,X,2012-11-10,3,FT
King,Alex,Z,2000-03-17,F,2002-12-06,2,FT
Wright,Alex,S,1952-03-31,F,2005-07-06,1,PT
Lopez,Alex,Z,1954-02-14,F,2013-06-14,4,FT
Stewart,Alex,H,1956-08-10,X,2020-01-09,4,PT
Price,Alex,D,1979-12-03,X,2008-09-11,3,PT
Bennett,Alex,S,1986-08-26,X,2015-01-23,2,PT
Wood,Alex,P,1993-02-27,F,2004-05-14,4,PT
Henderson,Alex,A,1999-02-23,F,2021-08-22,2,FT
Anderson,Alex,Q,1985-01-13,X,2012-07-28,3,PT
Smith,Blake,W,1956-07-11,X,2007-03-25,1,PT
Johnson,Blake,B,1965-07-10,X,2018-12-11,1,FT
Williams,Blake,F,1980-01-02,F,2018-12-06,3,PT
Jones,Blake,S,1970-04-17,M,2021-05-28,5,FT
Brown,Blake,N,1967-05-20,X,2016-09-12,2,PT
Davis,Blake,U,1952-07-08,F,2010-01-30,1,PT
Miller,Blake,U,1998-04-01,F,2012-09-08,2,FT
Hall,Blake,W,1985-07-08,F,2016-08-14,3,PT
Allen,Blake,V,1995-09-12,X,2009-11-28,3,PT
Young,Blake,E,1964-11-14,X,2013-05-24,1,FT
Hernandez,Blake,W,1952-12-05,X,2013-07-02,5,PT
King,Blake,T,1963-07-19,M,2004-03-09,1,FT
Wright,Blake,T,1955-06-10,M,2014-04-05,1,PT
