last_name,first_name,middle_initial,birth_date,gender,hire_date,initial_level,employment_type
Smith,Alex,F,1965-06-20,X,2009-03-01,5,PT
Johnson,Alex,G,1971-04-30,X,2018-11-17,1,PT
Williams,Alex,T,1970-12-23,M,2020-07-20,2,PT
Jones,Alex,U,1984-01-09,X,2008-09-22,4,FT
Brown,Alex,I,1977-04-15,X,2006-02-03,4,PT
Davis,Alex,L,1974-09-11,F,2007-08-25,2,PT
Miller,Alex,X,1966-04-24,F,2002-05-18,2,PT
Hall,Alex,D,1967-07-07,F,2002-01-31,1,FT
Allen,Alex,J,1973-05-31,M,2001-03-02,5,PT
Young,Alex,L,1979-01-07,M,2011-01-26,2,PT
Hernandez,Alex,X,1997-01-11,X,2017-07-22,1,PT
King,Alex,G,1985-07-21,X,2020-07-25,5,FT
Wright,Alex,S,1996-09-19,F,2002-01-23,1,PT
Lopez,Alex,T,2000-11-28,F,2009-10-20,5,FT
Stewart,Alex,X,1999-02-24,X,2004-09-10,2,PT
Price,Alex,Y,1953-10-03,X,2000-08-30,2,PT
Bennett,Alex,T,1954-11-29,F,2007-12-05,3,PT
Wood,Alex,W,1996-08-16,F,2008-08-06,2,PT
Henderson,Alex,C,1977-01-09,F,2000-04-07,3,FT
Anderson,Alex,A,1975-04-16,X,2010-05-16,3,PT
Smith,Blake,A,1971-05-04,X,2015-07-04,5,FT
Johnson,Blake,G,1996-04-14,X,2021-07-31,3,PT
Williams,Blake,B,1995-10-07,M,2007-10-24,5,FT
Jones,Blake,U,1973-02-20,M,2005-06-08,3,PT
Brown,Blake,P,1963-06-26,M,2000-04-02,1,FT
Davis,Blake,N,1987-02-02,X,2004-05-08,1,PT
Miller,Blake,G,1992-05-21,X,2015-06-10,2,FT
Hall,Blake,Z,1973-03-07,M,2006-07-15,1,PT
Allen,Blake,R,1960-10-01,M,2021-05-15,3,PT
Young,Blake,S,1996-09-24,M,2010-03-09,3,PT
Hernandez,Blake,L,1964-08-05,M,2010-08-27,1,PT
King,Blake,N,1950-12-15,X,2003-01-01,4,PT
Wright,Blake,J,1993-04-16,F,2021-01-12,2,FT
Lopez,Blake,I,1986-12-06,X,2020-09-02,2,FT
Stewart,Blake,S,1995-11-23,X,2005-05-09,2,FT
Price,Blake,L,1985-06-18,M,2017-03-21,5,FT
Bennett,Blake,K,1986-10-08,M,2000-11-28,3,FT
Wood,Blake,Q,1977-11-14,F,2012-04-08,5,FT
Henderson,Blake,B,1962-04-03,X,2015-09-01,3,PT
Anderson,Blake,X,1955-08-17,M,2002-02-22,5,FT
Smith,Taylor,P,1971-06-14,X,2017-11-03,1,FT
Johnson,Taylor,P,1981-02-04,F,2012-01-07,3,FT
Williams,Taylor,S,1961-06-18,X,2008-04-18,2,PT
Jones,Taylor,B,1959-07-26,M,2001-06-24,3,PT
Brown,Taylor,L,1990-06-01,M,2000-03-15,3,PT
Davis,Taylor,P,1956-08-20,F,2002-12-12,5,FT
Miller,Taylor,X,1959-09-22,X,2009-05-11,3,PT
Hall,Taylor,W,1991-08-26,X,2006-03-05,1,FT
Allen,Taylor,Y,1964-11-27,F,2012-11-26,1,PT
Young,Taylor,J,1986-09-07,X,2013-08-31,4,PT
Hernandez,Taylor,H,1953-06-20,X,2012-11-20,2,PT
King,Taylor,R,1955-09-19,X,2005-05-14,4,FT
Wright,Taylor,K,1976-09-27,M,2017-05-28,1,FT
Lopez,Taylor,R,2000-05-01,X,2016-07-19,4,PT
Stewart,Taylor,C,1990-12-06,X,2008-11-11,5,FT
Price,Taylor,R,1989-12-06,F,2000-04-19,5,PT
Bennett,Taylor,W,1998-08-15,X,2018-07-30,5,FT
Wood,Taylor,S,1963-12-23,F,2006-04-05,5,PT
Henderson,Taylor,Q,1953-07-29,F,2003-04-08,1,PT
Anderson,Taylor,C,1990-05-29,M,2015-01-08,3,PT
Smith,Jordan,K,1974-09-02,F,2011-09-23,1,FT
Johnson,Jordan,E,1990-10-11,F,2002-01-25,1,PT
Williams,Jordan,N,1980-12-24,M,2010-10-12,5,FT
Jones,Jordan,F,1964-07-21,M,2002-06-08,3,PT
Brown,Jordan,L,1983-05-05,M,2009-06-30,3,PT
Davis,Jordan,H,1987-02-24,F,2008-11-28,5,FT
Miller,Jordan,R,1967-07-21,M,2014-02-19,2,PT
Hall,Jordan,G,1968-11-22,F,2014-08-12,1,PT
Allen,Jordan,L,1953-08-23,X,2007-10-22,5,PT
Young,Jordan,R,1973-06-03,X,2009-06-29,3,PT
Hernandez,Jordan,Q,1975-03-16,M,2020-11-18,1,PT
King,Jordan,A,1978-03-21,X,2000-04-30,2,FT
Wright,Jordan,F,1959-08-25,X,2021-08-06,5,PT
Lopez,Jordan,S,1968-01-11,F,2005-06-16,3,PT
Stewart,Jordan,U,1984-12-09,X,2005-07-17,1,PT
Price,Jordan,B,1978-04-29,F,2014-10-01,2,FT
Bennett,Jordan,E,1998-10-10,X,2019-05-11,4,PT
Wood,Jordan,T,1996-07-14,X,2014-04-05,3,FT
Henderson,Jordan,P,1976-08-11,X,2016-04-28,3,FT
Anderson,Jordan,I,1980-05-23,X,2019-01-13,4,PT
